product,category,brand,sale_price,rating,description
Dove Moisturising Soap,Beauty & Hygiene,Dove,89,4.3,Moisturising cream bar soap with 1/4 moisturising cream that leaves skin soft and smooth
Head & Shoulders Anti-Dandruff Shampoo,Beauty & Hygiene,Head & Shoulders,199,4.1,Anti-dandruff shampoo with zinc pyrithione formula that controls dandruff from first wash
Colgate Strong Teeth Toothpaste,Beauty & Hygiene,Colgate,65,4.4,Strengthens teeth enamel with calcium boost and provides 12 hour protection against cavities
Nivea Men Oil Control Face Wash,Beauty & Hygiene,Nivea,149,4.0,Deep cleaning face wash for men with cooling effect that removes excess oil and dirt
Himalaya Neem Face Pack,Beauty & Hygiene,Himalaya,95,4.2,Purifying neem face pack for oily and acne prone skin with natural neem and turmeric extracts
Santoor Sandal & Turmeric Soap,Beauty & Hygiene,Santoor,45,4.1,Classic sandal and turmeric soap for fair and glowing skin with natural moisturisers
Biotique Bio Honey Gel Foaming Face Wash,Beauty & Hygiene,Biotique,149,4.2,Soothing foaming face wash with pure honey and botanical extracts for all skin types
Prestige Aluminium Pressure Cooker 5L,Kitchen; Garden & Pets,Prestige,899,4.5,5 litre hard anodised aluminium pressure cooker with advanced safety valve and gasket release
Whiskas Adult Dry Cat Food,Kitchen; Garden & Pets,Whiskas,299,4.2,Complete and balanced nutrition dry food for adult cats with real chicken and ocean fish flavour
Pedigree Adult Dog Food Chicken & Vegetables,Kitchen; Garden & Pets,Pedigree,349,4.4,Balanced nutrition for adult dogs with real chicken vegetables and essential vitamins and minerals
Garden King Organic Fertilizer,Kitchen; Garden & Pets,Garden King,199,4.1,100 percent organic fertilizer for all plants made from composted natural ingredients
Pigeon Aluminium Non Stick Tawa,Kitchen; Garden & Pets,Pigeon,399,4.3,Hard anodised non stick tawa for rotis and parathas with cool touch handle
Surf Excel Easy Wash Detergent Powder,Cleaning & Household,Surf Excel,155,4.3,Fights tough stains with easy wash formula requiring less water and effort
Harpic Power Plus Bathroom Cleaner,Cleaning & Household,Harpic,89,4.2,Kills 99.9 percent germs and removes the toughest toilet stains with thick formula
Colin Glass Cleaner Spray,Cleaning & Household,Colin,115,4.1,Crystal clear glass cleaner spray for mirrors windows and glass surfaces leaving no streaks
Lizol Disinfectant Floor Cleaner,Cleaning & Household,Lizol,125,4.4,Kills 99.9 percent germs on floors and leaves a fresh fragrance while cleaning
Ariel Matic Top Load Detergent,Cleaning & Household,Ariel,199,4.5,Superior cleaning for top load washing machines with stain removal technology
Scotch-Brite Heavy Duty Scrub Pad,Cleaning & Household,Scotch-Brite,55,4.3,Heavy duty scrubbing pad that removes tough grease and burned food without scratching
Del Monte Penne Pasta,Gourmet & World Food,Del Monte,89,4.1,Penne pasta made from premium durum wheat semolina with ridged surface that holds sauces well
Blue Dragon Dark Soy Sauce,Gourmet & World Food,Blue Dragon,149,4.3,Premium dark soy sauce for cooking stir fries marinades and dipping
Borges Extra Light Olive Oil,Gourmet & World Food,Borges,399,4.5,Extra light olive oil with mild flavour ideal for everyday Indian cooking and baking
San Remo Spaghetti,Gourmet & World Food,San Remo,110,4.2,Premium durum wheat spaghetti pasta from Australia perfect for classic Italian recipes
Kimball Tomato Ketchup,Gourmet & World Food,Kimball,129,4.0,Smooth and tangy tomato ketchup made from ripe tomatoes with balanced sweetness
Orion Turtle Chips Original,Gourmet & World Food,Orion,99,4.2,Korean style corn chips with unique turtle shape and light crispy texture
Tabasco Original Red Sauce,Gourmet & World Food,Tabasco,199,4.4,Classic original hot pepper sauce made from aged red peppers vinegar and salt
Lay's Classic Salted Potato Chips,Snacks & Branded Foods,Lay's,20,4.1,Classic salted potato chips with light and crispy texture for an irresistible snack
Britannia Good Day Cashew Cookies,Snacks & Branded Foods,Britannia,30,4.3,Rich butter cookies loaded with cashews baked to golden perfection
Haldirams Aloo Bhujia,Snacks & Branded Foods,Haldirams,60,4.4,Crispy spicy potato sev snack made from potatoes and spices an Indian classic
Parle-G Original Glucose Biscuits,Snacks & Branded Foods,Parle,10,4.5,Classic glucose biscuits loved by millions made from wheat flour and milk solids
